job_id,time_submitted,status,walltime,competition_sd,immigration_rate,replicate,f,params_i,dd_model,runtime,nb_clades
25111702,NA,NA,NA,0.369,0,63,1,3,DD,NA,NA
25111706,NA,NA,NA,0.369,0,64,1,3,DD,NA,NA
25111705,NA,NA,NA,0.369,0,64,1,2,DD,NA,NA
25111707,NA,NA,NA,0.369,0,64,1,4,DD,NA,NA
25111708,NA,NA,NA,0.369,0,65,1,1,DD,NA,NA
25111709,NA,NA,NA,0.369,0,65,1,2,DD,NA,NA
25111710,NA,NA,NA,0.369,0,65,1,3,DD,NA,NA
25111711,NA,NA,NA,0.369,0,65,1,4,DD,NA,NA
25111712,NA,NA,NA,0.369,0,66,1,1,DD,NA,NA
25111713,NA,NA,NA,0.369,0,66,1,2,DD,NA,NA
25111715,NA,NA,NA,0.369,0,66,1,4,DD,NA,NA
25111714,NA,NA,NA,0.369,0,66,1,3,DD,NA,NA
25111716,NA,NA,NA,0.369,0,67,1,1,DD,NA,NA
25111717,NA,NA,NA,0.369,0,67,1,2,DD,NA,NA
25111718,NA,NA,NA,0.369,0,67,1,3,DD,NA,NA
25111719,NA,NA,NA,0.369,0,67,1,4,DD,NA,NA
25111720,NA,NA,NA,0.369,0,68,1,1,DD,NA,NA
25111737,NA,NA,NA,0.369,0,72,1,2,DD,NA,NA
25111736,NA,NA,NA,0.369,0,72,1,1,DD,NA,NA
25111722,NA,NA,NA,0.369,0,68,1,3,DD,NA,NA
25111721,NA,NA,NA,0.369,0,68,1,2,DD,NA,NA
25111723,NA,NA,NA,0.369,0,68,1,4,DD,NA,NA
25111724,NA,NA,NA,0.369,0,69,1,1,DD,NA,NA
25111735,NA,NA,NA,0.369,0,71,1,4,DD,NA,NA
25111756,NA,NA,NA,0.369,0,77,1,1,DD,NA,NA
25111755,NA,NA,NA,0.369,0,76,1,4,DD,NA,NA
25111745,NA,NA,NA,0.369,0,74,1,2,DD,NA,NA
25111744,NA,NA,NA,0.369,0,74,1,1,DD,NA,NA
25111746,NA,NA,NA,0.369,0,74,1,3,DD,NA,NA
25111747,NA,NA,NA,0.369,0,74,1,4,DD,NA,NA
25111748,NA,NA,NA,0.369,0,75,1,1,DD,NA,NA
25111749,NA,NA,NA,0.369,0,75,1,2,DD,NA,NA
25111750,NA,NA,NA,0.369,0,75,1,3,DD,NA,NA
25111730,NA,NA,NA,0.369,0,70,1,3,DD,NA,NA
25111731,NA,NA,NA,0.369,0,70,1,4,DD,NA,NA
25111753,NA,NA,NA,0.369,0,76,1,2,DD,NA,NA
25111728,NA,NA,NA,0.369,0,70,1,1,DD,NA,NA
25111733,NA,NA,NA,0.369,0,71,1,2,DD,NA,NA
25111739,NA,NA,NA,0.369,0,72,1,4,DD,NA,NA
25111738,NA,NA,NA,0.369,0,72,1,3,DD,NA,NA
25111752,NA,NA,NA,0.369,0,76,1,1,DD,NA,NA
25111732,NA,NA,NA,0.369,0,71,1,1,DD,NA,NA
25111760,NA,NA,NA,0.369,0,78,1,1,DD,NA,NA
25111740,NA,NA,NA,0.369,0,73,1,1,DD,NA,NA
25111726,NA,NA,NA,0.369,0,69,1,3,DD,NA,NA
25111725,NA,NA,NA,0.369,0,69,1,2,DD,NA,NA
25111727,NA,NA,NA,0.369,0,69,1,4,DD,NA,NA
25111757,NA,NA,NA,0.369,0,77,1,2,DD,NA,NA
25111759,NA,NA,NA,0.369,0,77,1,4,DD,NA,NA
25111758,NA,NA,NA,0.369,0,77,1,3,DD,NA,NA
25111741,NA,NA,NA,0.369,0,73,1,2,DD,NA,NA
25111734,NA,NA,NA,0.369,0,71,1,3,DD,NA,NA
25111729,NA,NA,NA,0.369,0,70,1,2,DD,NA,NA
