batch_id,job_id,time_subm,status,runtime,competition_sd,carrying_cap_sd,dd_model,comrad_version
b92134,20007944,2021-05-11T13:43:22Z,COMPLETED,00:15:12,0.3,3,ll,[1] ‘1.18.0’
b92134,20007945,2021-05-11T13:43:23Z,COMPLETED,00:21:09,0.3,3,lx,[1] ‘1.18.0’
b92134,20007947,2021-05-11T13:43:23Z,COMPLETED,00:21:37,0.3,3,xl,[1] ‘1.18.0’
b92134,20007946,2021-05-11T13:43:23Z,COMPLETED,00:22:16,0.3,3,xc,[1] ‘1.18.0’
b92134,20007948,2021-05-11T13:43:23Z,COMPLETED,00:28:00,0.3,3,xx,[1] ‘1.18.0’
b92134,20007952,2021-05-11T13:43:26Z,COMPLETED,00:31:27,0.3,3,pp,[1] ‘1.18.0’
b92134,20007951,2021-05-11T13:43:26Z,COMPLETED,00:29:02,0.3,3,pl,[1] ‘1.18.0’
b92134,20007953,2021-05-11T13:43:26Z,COMPLETED,00:08:23,0.4,3,lc,[1] ‘1.18.0’
b92134,20007950,2021-05-11T13:43:26Z,COMPLETED,00:21:32,0.3,3,lp,[1] ‘1.18.0’
b92134,20007949,2021-05-11T13:43:26Z,COMPLETED,00:27:59,0.3,3,pc,[1] ‘1.18.0’
b92134,20007954,2021-05-11T13:43:37Z,COMPLETED,00:11:46,0.4,3,ll,[1] ‘1.18.0’
b92134,20007955,2021-05-11T13:43:47Z,COMPLETED,00:15:48,0.4,3,lx,[1] ‘1.18.0’
b92134,20007956,2021-05-11T13:43:49Z,COMPLETED,00:15:58,0.4,3,xc,[1] ‘1.18.0’
b92134,20007957,2021-05-11T13:43:53Z,COMPLETED,00:15:19,0.4,3,xl,[1] ‘1.18.0’
b92134,20007958,2021-05-11T13:43:56Z,COMPLETED,00:19:17,0.4,3,xx,[1] ‘1.18.0’
b92134,20007959,2021-05-11T13:43:58Z,COMPLETED,00:30:27,0.4,3,pc,[1] ‘1.18.0’
b92134,20007960,2021-05-11T13:44:02Z,COMPLETED,00:15:10,0.4,3,lp,[1] ‘1.18.0’
