batch_id,job_id,time_subm,status,runtime,nb_gens,competition_sd,carrying_cap_sd,carrying_cap_opt,trait_opt,growth_rate,prob_mutation,mutation_sd,trait_dist_sp,switch_carr_cap_sd_after,switch_carr_cap_sd_to,seed,comrad_version,sampling_on_event,sampling_freq,sampling_frac,brute_force_opt,csv_size,t_last_gen,d_last_gen,n_last_gen
b11572,21501823,2021-09-25T16:55:18Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,1089,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501822,2021-09-25T16:55:18Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,20602,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501824,2021-09-25T16:55:18Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,263,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501825,2021-09-25T16:55:21Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,37388,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501828,2021-09-25T16:55:21Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,49366,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501826,2021-09-25T16:55:21Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,30537,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501829,2021-09-25T16:55:21Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,41249,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501830,2021-09-25T16:55:21Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,8651,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501827,2021-09-25T16:55:21Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,71,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501831,2021-09-25T16:55:24Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,14187,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501832,2021-09-25T16:55:24Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,3949,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501833,2021-09-25T16:55:24Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,240,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501836,2021-09-25T16:55:24Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,20758,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501834,2021-09-25T16:55:24Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,31459,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
